iter	Passed	Remaining
0	17	10562
1	31	9524
2	47	9376
3	60	9039
4	77	9191
5	90	8955
6	108	9183
7	121	9009
8	138	9076
9	151	8960
10	169	9067
11	186	9139
12	204	9237
13	220	9231
14	239	9329
15	251	9178
16	266	9140
17	278	9006
18	296	9059
19	311	9042
20	331	9131
21	348	9146
22	367	9207
23	382	9180
24	403	9276
25	416	9198
26	434	9229
27	451	9225
28	471	9282
29	487	9254
30	503	9242
31	518	9208
32	535	9208
33	551	9187
34	571	9220
35	586	9190
36	619	9421
37	634	9382
38	650	9361
39	666	9326
40	683	9320
41	695	9244
42	711	9209
43	724	9156
44	739	9123
45	750	9044
46	766	9017
47	780	8970
48	796	8955
49	807	8881
50	847	9124
51	860	9072
52	878	9064
53	892	9024
54	908	9006
55	924	8981
56	940	8961
57	956	8936
58	973	8925
59	989	8903
60	1007	8899
61	1022	8869
62	1039	8858
63	1054	8833
64	1074	8842
65	1090	8823
66	1110	8835
67	1126	8812
68	1145	8812
69	1164	8817
70	1185	8833
71	1203	8822
72	1230	8882
73	1251	8895
74	1276	8935
75	1309	9030
76	1331	9044
77	1349	9032
78	1379	9097
79	1402	9117
80	1427	9144
81	1442	9110
82	1469	9155
83	1487	9138
84	1509	9145
85	1529	9142
86	1554	9166
87	1570	9137
88	1592	9144
89	1611	9133
90	1633	9135
91	1647	9094
92	1669	9099
93	1695	9125
94	1719	9139
95	1748	9181
96	1774	9200
97	1792	9180
98	1823	9228
99	1843	9218
100	1863	9206
101	1881	9185
102	1906	9197
103	1925	9184
104	1943	9162
105	1961	9142
106	1988	9162
107	2007	9147
108	2029	9143
109	2046	9114
110	2065	9100
111	2084	9082
112	2101	9057
113	2115	9020
114	2136	9010
115	2151	8975
116	2170	8959
117	2188	8940
118	2210	8935
119	2228	8915
120	2252	8915
121	2270	8896
122	2290	8884
123	2307	8859
124	2328	8848
125	2346	8826
126	2370	8827
127	2391	8818
128	2415	8818
129	2436	8807
130	2459	8805
131	2478	8786
132	2502	8785
133	2521	8768
134	2544	8763
135	2564	8748
136	2585	8736
137	2602	8711
138	2620	8691
139	2634	8657
140	2656	8648
141	2677	8634
142	2697	8619
143	2712	8588
144	2731	8570
145	2749	8551
146	2772	8543
147	2791	8525
148	2812	8512
149	2828	8484
150	2845	8460
151	2858	8425
152	2877	8405
153	2892	8377
154	2913	8365
155	2937	8360
156	2960	8354
157	2979	8335
158	3004	8332
159	3019	8304
160	3036	8280
161	3053	8256
162	3071	8233
163	3086	8205
164	3105	8188
165	3124	8167
166	3143	8150
167	3162	8130
168	3187	8128
169	3207	8113
170	3226	8094
171	3242	8068
172	3261	8049
173	3278	8027
174	3307	8032
175	3327	8016
176	3347	7999
177	3362	7971
178	3381	7954
179	3398	7929
180	3432	7945
181	3456	7938
182	3481	7932
183	3499	7911
184	3521	7900
185	3544	7890
186	3578	7903
187	3601	7892
188	3628	7891
189	3652	7881
190	3675	7870
191	3696	7855
192	3722	7849
193	3745	7837
194	3778	7848
195	3800	7833
196	3819	7812
197	3835	7787
198	3858	7775
199	3875	7750
200	3898	7738
201	3917	7718
202	3942	7709
203	3957	7681
204	3998	7705
205	4036	7721
206	4064	7715
207	4083	7695
208	4104	7678
209	4119	7650
210	4139	7630
211	4156	7606
212	4176	7587
213	4191	7560
214	4213	7544
215	4230	7520
216	4245	7492
217	4258	7462
218	4282	7450
219	4298	7424
220	4320	7409
221	4337	7385
222	4361	7373
223	4379	7351
224	4402	7338
225	4423	7321
226	4445	7305
227	4461	7279
228	4479	7256
229	4491	7225
230	4510	7204
231	4524	7177
232	4544	7158
233	4576	7158
234	4603	7150
235	4620	7126
236	4642	7110
237	4661	7089
238	4687	7080
239	4705	7057
240	4728	7044
241	4753	7032
242	4783	7027
243	4813	7022
244	4850	7027
245	4875	7015
246	4919	7030
247	4955	7033
248	4988	7032
249	5022	7030
250	5064	7042
251	5107	7053
252	5149	7063
253	5170	7042
254	5203	7039
255	5235	7034
256	5257	7016
257	5276	6994
258	5308	6988
259	5327	6966
260	5357	6959
261	5374	6933
262	5403	6923
263	5423	6902
264	5448	6887
265	5466	6863
266	5490	6847
267	5509	6824
268	5532	6807
269	5549	6782
270	5568	6760
271	5586	6737
272	5610	6719
273	5627	6695
274	5649	6676
275	5664	6649
276	5682	6625
277	5697	6599
278	5723	6584
279	5742	6562
280	5767	6547
281	5787	6526
282	5810	6508
283	5828	6485
284	5850	6466
285	5872	6447
286	5893	6427
287	5911	6403
288	5933	6385
289	5950	6361
290	5969	6338
291	5987	6315
292	6010	6297
293	6032	6278
294	6058	6263
295	6077	6241
296	6096	6219
297	6113	6195
298	6134	6176
299	6155	6155
300	6173	6132
301	6195	6113
302	6212	6089
303	6228	6064
304	6252	6047
305	6274	6028
306	6297	6010
307	6312	5984
308	6336	5967
309	6355	5945
310	6377	5926
311	6398	5906
312	6417	5884
313	6437	5863
314	6458	5843
315	6476	5820
316	6494	5797
317	6513	5775
318	6536	5757
319	6554	5734
320	6577	5716
321	6594	5692
322	6613	5671
323	6629	5647
324	6649	5626
325	6665	5602
326	6691	5586
327	6713	5567
328	6740	5552
329	6765	5535
330	6788	5517
331	6806	5494
332	6840	5484
333	6872	5473
334	6897	5456
335	6918	5436
336	6946	5421
337	6974	5406
338	7002	5391
339	7039	5383
340	7068	5368
341	7100	5356
342	7125	5339
343	7147	5319
344	7172	5301
345	7197	5284
346	7226	5269
347	7251	5251
348	7285	5239
349	7318	5227
350	7341	5208
351	7364	5188
352	7391	5171
353	7411	5150
354	7439	5134
355	7461	5113
356	7484	5094
357	7502	5071
358	7524	5051
359	7539	5026
360	7559	5004
361	7589	4989
362	7618	4974
363	7637	4951
364	7663	4933
365	7680	4910
366	7703	4890
367	7725	4870
368	7747	4849
369	7768	4829
370	7790	4808
371	7809	4786
372	7836	4769
373	7856	4747
374	7882	4729
375	7901	4707
376	7923	4686
377	7940	4663
378	7959	4641
379	7976	4617
380	7997	4596
381	8017	4575
382	8044	4557
383	8066	4537
384	8090	4518
385	8112	4497
386	8136	4477
387	8152	4454
388	8178	4436
389	8199	4415
390	8217	4392
391	8236	4370
392	8262	4351
393	8294	4336
394	8315	4315
395	8332	4292
396	8376	4283
397	8396	4261
398	8417	4240
399	8435	4217
400	8457	4196
401	8476	4175
402	8510	4160
403	8529	4137
404	8554	4119
405	8570	4095
406	8590	4073
407	8607	4050
408	8644	4036
409	8668	4016
410	8690	3996
411	8709	3974
412	8739	3957
413	8769	3940
414	8790	3918
415	8811	3897
416	8840	3879
417	8863	3859
418	8885	3838
419	8902	3815
420	8928	3796
421	8947	3774
422	8969	3753
423	8990	3731
424	9015	3712
425	9037	3691
426	9057	3669
427	9073	3646
428	9103	3628
429	9120	3605
430	9143	3585
431	9165	3564
432	9191	3545
433	9210	3522
434	9231	3501
435	9254	3480
436	9286	3463
437	9316	3446
438	9345	3427
439	9364	3405
440	9391	3385
441	9435	3372
442	9455	3350
443	9470	3327
444	9499	3308
445	9521	3287
446	9550	3268
447	9571	3247
448	9608	3231
449	9636	3212
450	9663	3192
451	9681	3169
452	9726	3156
453	9748	3134
454	9770	3113
455	9796	3093
456	9830	3076
457	9854	3055
458	9886	3036
459	9907	3015
460	9940	2997
461	9965	2976
462	9988	2955
463	10009	2933
464	10046	2916
465	10074	2897
466	10105	2878
467	10122	2855
468	10151	2835
469	10178	2815
470	10206	2795
471	10230	2774
472	10255	2753
473	10277	2731
474	10301	2710
475	10318	2688
476	10338	2665
477	10357	2643
478	10387	2623
479	10417	2604
480	10447	2584
481	10474	2564
482	10506	2545
483	10529	2523
484	10553	2502
485	10581	2482
486	10607	2461
487	10626	2438
488	10649	2417
489	10672	2395
490	10706	2376
491	10726	2354
492	10748	2332
493	10768	2310
494	10792	2289
495	10804	2265
496	10820	2242
497	10847	2221
498	10878	2201
499	10904	2180
500	10929	2159
501	10947	2137
502	10973	2116
503	10994	2094
504	11022	2073
505	11043	2051
506	11080	2032
507	11112	2012
508	11138	1991
509	11178	1972
510	11212	1952
511	11235	1931
512	11265	1910
513	11288	1888
514	11317	1867
515	11349	1847
516	11382	1827
517	11406	1805
518	11432	1784
519	11455	1762
520	11481	1740
521	11506	1719
522	11530	1697
523	11545	1674
524	11578	1654
525	11599	1631
526	11631	1611
527	11650	1588
528	11674	1566
529	11696	1544
530	11718	1522
531	11736	1500
532	11773	1479
533	11798	1458
534	11830	1437
535	11848	1414
536	11886	1394
537	11906	1372
538	11940	1351
539	11957	1328
540	11995	1308
541	12013	1285
542	12036	1263
543	12054	1240
544	12083	1219
545	12111	1197
546	12154	1177
547	12176	1155
548	12202	1133
549	12231	1111
550	12259	1090
551	12279	1067
552	12306	1045
553	12332	1024
554	12357	1001
555	12379	979
556	12410	958
557	12436	936
558	12464	914
559	12482	891
560	12514	869
561	12541	847
562	12582	826
563	12600	804
564	12628	782
565	12654	760
566	12681	738
567	12700	715
568	12733	693
569	12760	671
570	12787	649
571	12810	627
572	12845	605
573	12867	582
574	12895	560
575	12921	538
576	12941	515
577	12963	493
578	12983	470
579	13005	448
580	13033	426
581	13058	403
582	13084	381
583	13099	358
584	13125	336
585	13153	314
586	13174	291
587	13195	269
588	13222	246
589	13246	224
590	13269	202
591	13295	179
592	13325	157
593	13341	134
594	13362	112
595	13380	89
596	13407	67
597	13430	44
598	13459	22
599	13480	0
