file,span_count,rule_matches_sum,rule_matches_per_span
34d1bea48deca314264d805be560c03c.json,8,1,0.125
T1001+T1001.002.json,20,9,0.45
T1003+T1003.003.json,48,21,0.4375
T1003.001+T1183.json,93,81,0.8709677419354839
T1003.002.json,94,29,0.30851063829787234
T1003.003.json,39,25,0.6410256410256411
T1003.004.json,37,13,0.35135135135135137
T1003.005.json,15,7,0.4666666666666667
T1003.006.json,19,10,0.5263157894736842
T1003.007.json,11,5,0.45454545454545453
T1003.008.json,11,5,0.45454545454545453
T1005.json,14,6,0.42857142857142855
T1006.json,14,6,0.42857142857142855
T1007.json,30,13,0.43333333333333335
T1010.json,18,7,0.3888888888888889
T1012+T1592.json,91,39,0.42857142857142855
T1014.json,11,5,0.45454545454545453
T1016.001.json,29,9,0.3103448275862069
T1016.002.json,15,7,0.4666666666666667
T1016.json,87,41,0.47126436781609193
T1018.json,1936,736,0.38016528925619836
T1020.json,18,11,0.6111111111111112
T1021.001.json,34,13,0.38235294117647056
T1021.002.json,29,13,0.4482758620689655
T1021.003.json,17,8,0.47058823529411764
T1021.004.json,18,7,0.3888888888888889
T1021.005.json,11,5,0.45454545454545453
T1021.006.json,23,8,0.34782608695652173
T1023+T1547.009+T1552+T1552.005.json,19,3,0.15789473684210525
T1025.json,16,7,0.4375
T1027+T1027.004.json,29,8,0.27586206896551724
T1027+T1027.013.json,19,11,0.5789473684210527
T1027.001.json,11,5,0.45454545454545453
T1027.002.json,15,10,0.6666666666666666
T1027.004+T1033.json,44,32,0.7272727272727273
T1027.006.json,15,6,0.4
T1027.007.json,21,11,0.5238095238095238
T1027.json,39,19,0.48717948717948717
T1030.json,16,11,0.6875
T1031+T1050+T1053.json,20,8,0.4
T1031+T1050-01.json,37,7,0.1891891891891892
T1031+T1050-02.json,3,2,0.6666666666666666
T1031+T1050-1.json,15,6,0.4
T1031+T1050-2.json,95,57,0.6
T1031+T1050-3.json,5,2,0.4
T1031+T1050.json,30,5,0.16666666666666666
T1036+T1036.003+T1060+T1099.json,58,56,0.9655172413793104
T1036+T1036.004.json,24,12,0.5
T1036+T1036.007.json,43,38,0.8837209302325582
T1036.005+T1060.json,29,12,0.41379310344827586
T1036.006.json,11,5,0.45454545454545453
T1036.json,22,10,0.45454545454545453
T1037.001.json,17,10,0.5882352941176471
T1037.002.json,11,5,0.45454545454545453
T1037.004.json,11,5,0.45454545454545453
T1037.005.json,11,5,0.45454545454545453
T1039.json,16,8,0.5
T1040.json,32,15,0.46875
T1041.json,20,9,0.45
T1042+T1053.005+T1204.002.json,69,34,0.4927536231884058
T1042+T1548.002.json,6,3,0.5
T1042+T1552.001+T1548.002.json,86,51,0.5930232558139535
T1046+T1048.002.json,21,8,0.38095238095238093
T1046.json,43,20,0.46511627906976744
T1047.json,63,34,0.5396825396825397
T1048.003.json,26,14,0.5384615384615384
T1048.json,14,6,0.42857142857142855
T1049.json,27,12,0.4444444444444444
T1053+T1053.005.json,51,22,0.43137254901960786
T1053.002.json,15,7,0.4666666666666667
T1053.003.json,11,5,0.45454545454545453
T1053.006.json,11,5,0.45454545454545453
T1053.007.json,11,5,0.45454545454545453
T1055+T1055.002+T1055.004.json,141,3,0.02127659574468085
T1055+T1055.004.json,39,8,0.20512820512820512
T1055+T1055.011.json,16,6,0.375
T1055+T1204.002.json,103,33,0.32038834951456313
T1055.001.json,30,13,0.43333333333333335
T1055.002.json,20,6,0.3
T1055.003.json,18,6,0.3333333333333333
T1055.012+T1204.002.json,44,12,0.2727272727272727
T1055.015.json,22,12,0.5454545454545454
T1056.001+T1059.001+T1059.007.json,16,10,0.625
T1056.001.json,2,2,1.0
T1056.002+T1059.003.json,14,6,0.42857142857142855
T1056.002.json,2,2,1.0
T1056.004(2).json,2,2,1.0
T1056.004(3).json,2,2,1.0
T1056.004.json,14,4,0.2857142857142857
T1057(2).json,42,20,0.47619047619047616
T1057.json,2,2,1.0
T1059+T1056.004.json,18,12,0.6666666666666666
T1059+T1072+T1070.005.json,14,8,0.5714285714285714
T1059+T1082.json,6,4,0.6666666666666666
T1059.002+T1106.json,6,3,0.5
T1059.002.json,12,6,0.5
T1059.003+T1069.001.json,30,14,0.4666666666666667
T1059.003+T1110.003.json,4,3,0.75
T1059.004(2).json,12,6,0.5
T1059.004(3).json,4,2,0.5
T1059.004.json,2,2,1.0
T1059.005+T1056.001.json,34,18,0.5294117647058824
T1059.005.json,2,2,1.0
T1059.006(2).json,4,2,0.5
T1059.006(3).json,10,6,0.6
T1059.006.json,4,3,0.75
T1059.007+T1059.006+T1059+T1059.003.json,24,12,0.5
T1059.007.json,4,3,0.75
T1059.010+T1056.002.json,21,10,0.47619047619047616
T1059.010.json,2,2,1.0
T1060+T1547.009.json,5,5,1.0
T1060.json,5,5,1.0
T1069.001(2).json,2,2,1.0
T1069.001.json,24,14,0.5833333333333334
T1069.002+T1069.001.json,70,32,0.45714285714285713
T1070(2).json,18,10,0.5555555555555556
T1070.001(2).json,20,10,0.5
T1070.001+T1105+T1091+T1059.001+T1112+T1070+T1078.004+T1087.002+T1070.004+T1074.001+T1090.001+T1087.001+T1110.003.json,180,89,0.49444444444444446
T1070.001.json,4,3,0.75
T1070.002(2).json,12,6,0.5
T1070.002.json,4,3,0.75
T1070.003.json,2,2,1.0
T1070.004+T1070.006+T1071.001.json,33,13,0.3939393939393939
T1070.004.json,4,2,0.5
T1070.005.json,2,2,1.0
T1070.006(2).json,26,14,0.5384615384615384
T1070.006.json,2,2,1.0
T1070.008+T1113+T1112.json,10,6,0.6
T1070.008.json,22,11,0.5
T1070.json,2,2,1.0
T1071+T1078.001.json,18,8,0.4444444444444444
T1071.001(2).json,2,2,1.0
T1071.001.json,20,12,0.6
T1071.004+T1078.001+T1074.001.json,32,14,0.4375
T1071.004.json,2,2,1.0
T1072(2).json,2,2,1.0
T1072.json,20,10,0.5
T1074.001(2).json,6,2,0.3333333333333333
T1074.001(3).json,8,4,0.5
T1074.001+T1070.005+T1078.001.json,36,20,0.5555555555555556
T1074.001.json,4,4,1.0
T1078.003+T1070.002.json,33,17,0.5151515151515151
T1078.003+T1070.003.json,32,14,0.4375
T1078.004+T1078+T1070.004.json,18,9,0.5
T1078.004.json,1,1,1.0
T1082+T1095+T1106+T1112+T1087.002.json,165,79,0.47878787878787876
T1082+T1112+T1110.003+T1078.001+T1110.001+T1110.002+T1110.004+T1059.001+T1069.002+T1069.001+T1106.json,181,51,0.281767955801105
T1083.json,28,13,0.4642857142857143
T1087.001.json,24,12,0.5
T1087.002.json,86,43,0.5
T1088.json,3,2,0.6666666666666666
T1089-2.json,3,6,2.0
T1089.json,1,1,1.0
T1090.001.json,16,6,0.375
T1090.003.json,20,10,0.5
T1095.json,22,11,0.5
T1105+T1112+T1110.003+T1110.001+T1113+T1110.002.json,191,105,0.5497382198952879
T1106+T1078.003.json,4,6,1.5
T1106.json,20,9,0.45
T1110.001.json,22,11,0.5
T1110.002.json,12,4,0.3333333333333333
T1110.003.json,28,15,0.5357142857142857
T1110.004.json,12,6,0.5
T1112.json,380,189,0.49736842105263157
T1113+T1071+T1112.json,28,11,0.39285714285714285
T1134.001.json,37,28,0.7567567567567568
T1134.002.json,21,14,0.6666666666666666
T1134.004.json,306,152,0.49673202614379086
T1135.json,42,26,0.6190476190476191
T1136.001+T1136.json,53,26,0.49056603773584906
T1136.002+T1136.json,35,18,0.5142857142857142
T1136.002.json,12,24,2.0
T1136.003.json,15,10,0.6666666666666666
T1137.001.json,9,3,0.3333333333333333
T1137.004+T1202.json,14,7,0.5
T1137.004+T1485.json,20,6,0.3
T1137.004.json,17,4,0.23529411764705882
T1137.006+T1201.json,23,21,0.9130434782608695
T1137.006.json,5,3,0.6
T1137.json,15,8,0.5333333333333333
T1138+T1547.001+T1546.011+T1112.json,47,9,0.19148936170212766
T1158+T1564.001.json,39,19,0.48717948717948717
T1176+T1099.json,101,41,0.40594059405940597
T1197.json,15,14,0.9333333333333333
T1201.json,12,24,2.0
T1202.json,22,17,0.7727272727272727
T1204.002+T1566.001.json,29,22,0.7586206896551724
T1204.002.json,45,52,1.1555555555555554
T1204.003+T1204.002.json,27,18,0.6666666666666666
T1207.json,18,16,0.8888888888888888
T1216.001.json,16,10,0.625
T1216.json,25,13,0.52
T1217.json,27,16,0.5925925925925926
T1218+T1217+T1218.001+T1218.005+T1218.010+T1218.007+T1218.011+T1497.001+T1491.001+T1518+T1518.001+T1491.json,238,119,0.5
T1218.002.json,17,5,0.29411764705882354
T1218.003+T1218+T1204.003.json,28,15,0.5357142857142857
T1218.004.json,75,41,0.5466666666666666
T1218.005.json,3,4,1.3333333333333333
